Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
Elk Hound,Scotland,"Black, Tan",23-27,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
French Bulldog,Ireland,Red,24-28,Brown,Dec-15,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
German Sheperd,France,"White, Black, Sable, Red",08-Nov,Brown,14-16,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Golden Retriever,China,"Black, White, Red",06-Sep,Brown,Dec-15,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Great Dane,France,"White, Black, Brown, Apricot",10-Nov,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Great Perenees,France,"White, Black, Brown, Apricot",Oct-15,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Greyhound,France,"White, Black, Brown, Apricot",15-22,"Brown, Blue",Dec-15,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Groenendael,Germany,"Black, Brown, Red",09-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Irish Spaniel,United States,"Black, White",15-17,Brown,Nov-13,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Irish Wolfhound,Belgium,"Black, Red",07-Oct,Brown,Dec-15,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Japanese Spaniel,Scotland,"Black, Wheaten, Red",10-Dec,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
Komondor,China,"Pink, White, Black",Nov-13,Brown,13-18,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Labradoodle,Germany,"Black, Salt & Pepper, White",Dec-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Labrador,Germany,"Black, Salt & Pepper",18-20,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Lhasa,Scotland,White,11-Dec,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Malinois,Australia,"Red, Black & Tan",10-Nov,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Maltese,England,"Red, Wheaten, Black",Oct-16,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Mex Hairless,Madagascar,White,09-Nov,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Newfoundland,England,"White, Blenheim",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pekinese,Australia,"Red, Black",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pit Bull,China,"Black, Fawn",Oct-14,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Pomeranian,United States,White,15-19,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Poodle,Australia,"Blue, Red",17-20,Brown,Dec-16,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pug,France,"Black, White, Red",Nov-15,Brown,10-Dec,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Rhodesian,Australia,"Red, Black",17-20,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Rottweiler,England,"Red, Black",22-27,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Saint Bernard,England,"Black, White, Red",18-22,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Schnauzer,Australia,Blue Merle,20-23,Brown,Dec-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Scotch Terrier,United States,"White, Red",20-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Shar_Pei,Australia,"Black, Red",18-23,Brown,Dec-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Shiba Inu,Russia,"White, Cream, Red",26-29,Brown,10-Dec,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Shih-Tzu,England,"White, Red",20-22,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Siberian Husky,Italy,"Black, Red",22-28,Brown,10-Dec,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Vizsla,Wales,"Red, Sable, Black",10-Dec,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkie,United States,"Brown, Tan",21-26,Brown,Dec-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
